,Province,City,Street,Neighbourhood,Price,Bed,Bath,Size,room
49,ON,Toronto,731-525 Wilson Avenue,Clanton Park,599888.0,1,1,500-599,2
50,ON,Toronto,W1208-565 Wilson Avenue,Clanton Park,979789.0,2,2,1000-1199,4
51,ON,Toronto,1505-5 Concorde Place,Banbury-Don Mills,949999.0,2+1,2,1400-1599,5
52,ON,Toronto,1003-11 Bogert Avenue,Lansing-Westgate,799000.0,2+1,2,900-999,5
53,ON,Toronto,1711-25 Capreol Court,Waterfront Communities C1,549900.0,1,1,501-1000,2
54,ON,Toronto,2801-14 York Street,Waterfront Communities C1,999000.0,3,2,900-999,5
55,ON,Toronto,4503-15 Lower Jarvis Street,Waterfront Communities C8,2499000.0,2+1,2,1500-2000,5
56,ON,Toronto,905-115 Antibes Drive,Westminster-Branson,599000.0,2,2,1200-1399,4
57,ON,Toronto,8D-1 Chedington Place,Bridle Path-Sunnybrook-York Mills,3980000.0,2,4,2750-2999,6
58,ON,Toronto,1304-1486 Bathurst Street,Forest Hill South,629900.0,1+1,1,600-699,3
59,ON,Toronto,733-165 Legion Road N,Mimico,599999.0,1+1,1,600-699,3
60,ON,Toronto,318-80 Harrison Garden Boulevard,Willowdale East,929000.0,2,2,900-999,4
61,ON,Toronto,208-110 Hepbourne Street,Dufferin Grove,1599000.0,2,3,1600-1799,5
62,ON,Toronto,726-169 Fort York Boulevard,Niagara,649900.0,2,1,700-799,3
63,ON,Toronto,#1701-75 Queens Wharf Road,Waterfront Communities C1,1099000.0,3,2,1000-1199,5
64,ON,Toronto,515-676 Sheppard Avenue E,Bayview Village,638888.0,1+1,2,700-799,4
65,ON,Toronto,PH1806E-576 Front Street W,Waterfront Communities C1,999000.0,3,2,900-999,5
66,ON,Toronto,THB-1 St Thomas Street,Bay Street Corridor,8895000.0,3,5,5000+,8
67,ON,Toronto,2506-2212 Lake Shore Boulevard W,Mimico,798000.0,2,2,700-799,4
68,ON,Toronto,1302-240 Scarlett Road,Rockcliffe-Smythe,649000.0,2,1,1000-1199,3
69,ON,Toronto,1503-61 Town Centre Court,Bendale,738800.0,2,2,900-999,4
70,ON,Toronto,18 Fundy Bay Boulevard,Steeles,899000.0,3+1,3,1200-1399,7
71,ON,Toronto,19 Lower Village Gate,Forest Hill South,2299000.0,2,2,1500-2000,4
72,ON,Toronto,3106-300 Front Street W,Waterfront Communities C1,899000.0,1+1,1,600-699,3
73,ON,Toronto,901-30 Nelson Street,Waterfront Communities C1,699000.0,1+1,1,600-699,3
74,ON,Toronto,2902-199 Richmond Street W,Waterfront Communities C1,1249000.0,2+1,2,900-999,5
75,ON,Toronto,2303-33 Bay Street,Waterfront Communities C1,1174900.0,2+1,2,900-999,5
76,ON,Toronto,6303-10 York Street,Waterfront Communities C1,1999900.0,2,2,1400-1599,4
77,ON,Toronto,1501-2230 Lake Shore Boulevard W,Mimico,699000.0,1+1,1,700-799,3
78,ON,Toronto,1716-88 Park Lawn Road,Mimico,888000.0,2+1,2,1000-1199,5
79,ON,Toronto,3-21 Foundry Avenue,Rouge E11,899999.0,3+1,2,1200-1399,6
80,ON,Toronto,516-60 Berwick Avenue,Yonge-Eglinton,699000.0,1+1,1,600-699,3
81,ON,Toronto,306-38 Cameron Street,Kensington-Chinatown,619900.0,1,1,500-599,2
